product_id,product_category,region,current_price,optimized_price,demand_forecast,inventory_level,manufacturing_cost,supply_chain_cost,profit_margin,optimization_result
232501,Energy and Building Technology,Africa,2117.35,2382.88,5739,2821,936.13,1970.36,-523.61,Unchanged
364104,Consumer Goods,Africa,4912.42,4151.1,3359,4509,106.71,1418.87,2625.52,Improved
437509,Consumer Goods,Europe,4814.78,3897.92,3882,3032,483.82,233.91,3180.19,Improved
847371,Consumer Goods,Europe,3108.46,3334.72,1146,137,485.13,482.99,2366.6,Unchanged
921199,Consumer Goods,Europe,531.17,445.91,6083,1116,1354.8,1937.54,-2846.43,Improved
982340,Automotive,Asia-Pacific,1617.17,1765.68,8319,1592,2617.79,1654.8,-2506.91,Unchanged
835823,Consumer Goods,Europe,1221.78,1418.8,6396,360,1548.41,1961.51,-2091.12,Unchanged
911234,Automotive,Africa,4187.28,3911.85,5329,1851,1364.84,749.62,1797.39,Improved
801985,Industrial,Asia-Pacific,716.08,819.61,4802,2613,597.15,1816.94,-1594.48,Unchanged
564711,Consumer Goods,Asia-Pacific,3850.69,3815.43,7687,2842,1559.56,1174.43,1081.44,Improved
124041,Energy and Building Technology,South America,3336.73,3677.71,1346,4960,227.24,1569.27,1881.2,Unchanged
612312,Industrial,North America,213.61,188.76,1274,4851,1933.24,230.41,-1974.89,Improved
322911,Industrial,Europe,3796.59,3131.2,9340,3386,2662.18,557.1,-88.08,Improved
924936,Industrial,Europe,4273.07,4675.63,5381,1552,840.15,1780.81,2054.67,Unchanged
139706,Consumer Goods,North America,2065.62,2283.33,3407,1847,671.78,825.15,786.4,Unchanged
200022,Consumer Goods,South America,2937.61,2978.27,8175,390,2914.03,621.66,-557.42,Unchanged
683813,Consumer Goods,North America,4559.49,4034.05,4269,2620,2153.79,1483.35,396.91,Improved
154420,Consumer Goods,Asia-Pacific,2035.86,1709.39,9140,318,891.43,625.71,192.25,Improved
818338,Consumer Goods,South America,3805.92,3925.85,9407,2384,2872.3,1570.02,-516.47,Unchanged
416186,Energy and Building Technology,North America,3716.88,3894.13,9430,3390,1822.18,1974.23,97.72,Unchanged
654263,Consumer Goods,Europe,1978.23,2008.39,5551,3214,564.68,948.16,495.55,Unchanged
670025,Automotive,Africa,3648.94,2982.38,2879,419,858.63,904.73,1219.02,Improved
248385,Automotive,Europe,3861.82,3859.74,8474,1934,1470.42,560.46,1828.86,Improved
486403,Industrial,South America,669.8,755.82,1391,4946,792.81,798.75,-835.74,Unchanged
658845,Automotive,Asia-Pacific,4878.94,4581.14,4537,799,2708.67,1182.65,689.82,Improved
440960,Consumer Goods,South America,4665.22,5550.43,2436,2115,1206.47,1061.02,3282.94,Unchanged
507112,Energy and Building Technology,Europe,2261.01,2079.35,7539,185,2652.76,853.65,-1427.06,Improved
698441,Energy and Building Technology,North America,2211.37,2465.49,4164,288,769.95,496.62,1198.92,Unchanged
456366,Automotive,South America,4556.49,3652.78,2936,3150,1777.91,36.77,1838.1,Improved
575090,Energy and Building Technology,Asia-Pacific,4172.92,4631.5,1492,3039,1534.04,1540.47,1556.99,Unchanged
996723,Consumer Goods,South America,1080.81,954.52,2294,1973,404.68,1283.49,-733.65,Improved
407305,Automotive,North America,4470.07,4885.24,5898,2316,2893.13,94.05,1898.06,Unchanged
991773,Energy and Building Technology,Asia-Pacific,1432.38,1362,1698,4541,409.63,1507.72,-555.35,Improved
971203,Consumer Goods,Africa,3810.77,3743.79,8716,4473,2269.79,98.3,1375.7,Improved
718221,Industrial,North America,1790.59,1848.12,5916,4807,2215.38,1979.27,-2346.53,Unchanged
879557,Consumer Goods,South America,3215.56,3139.73,7131,4714,461.33,1032.49,1645.91,Improved
