product_id,product_category,region,current_price,demand_forecast,inventory_level,manufacturing_cost,supply_chain_cost,profit_margin,optimization_result,production_time,inventory_turnover,order_lead_time,supply_chain_risk
589046,Energy and Building Technology,Europe,1645.52,3375,4535,950.58,1579.6,-884.66,Unchanged,9.2,4.2,4.59,Low
419864,Energy and Building Technology,Africa,304.52,7048,540,2997.91,1174.18,-3867.57,Unchanged,3.43,2.68,16.39,Medium
767736,Energy and Building Technology,Africa,3790.58,5610,4256,2863.15,532.52,394.91,Improved,9.0,4.43,7.35,High
299785,Energy and Building Technology,Africa,3323.07,9523,2963,850.27,1053.27,1419.53,Improved,9.93,0.78,23.97,High
867219,Automotive,Asia-Pacific,3706.19,8146,1893,1312.87,51.88,2341.44,Improved,7.3,2.71,16.21,Medium
972560,Consumer Goods,South America,1244.33,8029,3343,1628.27,1759.57,-2143.51,Unchanged,6.75,1.7,25.26,High
496459,Energy and Building Technology,North America,609.4,4215,1636,2331.7,713.94,-2436.24,Unchanged,4.11,4.95,24.29,High
294622,Industrial,South America,1000.35,6829,2122,2510.87,937.63,-2448.15,Unchanged,8.22,0.88,7.66,Medium
547002,Consumer Goods,Africa,1570.04,7468,4161,2836.54,346.4,-1612.9,Unchanged,1.88,1.3,2.69,High
462117,Automotive,North America,499.5,4100,2241,1840.48,929.55,-2270.53,Unchanged,6.23,1.23,21.56,Low
628832,Energy and Building Technology,South America,2257.36,3600,3660,2899.96,102.5,-745.1,Unchanged,8.16,1.69,22.75,High
699876,Energy and Building Technology,Africa,1009.92,2490,4351,2398.53,119.12,-1507.73,Unchanged,9.5,0.85,9.71,High
660909,Consumer Goods,South America,3694.86,4765,3640,1544.11,778.73,1372.02,Improved,8.65,3.64,7.64,Medium
564903,Energy and Building Technology,Asia-Pacific,4589.98,7496,2222,625.51,1452.22,2512.25,Improved,8.39,1.86,25.93,Medium
262251,Consumer Goods,South America,4201.89,5236,3503,1878.36,880.11,1443.42,Improved,1.27,4.0,14.48,High
322790,Energy and Building Technology,Europe,1639.95,3865,137,1111.97,1046.18,-518.2,Unchanged,9.32,4.82,3.47,Low
173889,Energy and Building Technology,Asia-Pacific,2397.83,2110,2236,1829.26,1408.38,-839.81,Unchanged,9.49,1.03,25.08,High
858204,Consumer Goods,South America,2269.12,8755,1922,852.03,971.45,445.64,Improved,4.35,3.23,23.77,High
193026,Consumer Goods,Africa,4240.63,9458,1730,393.8,864.08,2982.75,Improved,1.15,0.91,11.68,Low
627150,Automotive,Asia-Pacific,2670.23,1659,2626,236.72,1705.71,727.8,Improved,4.46,2.21,2.72,Medium
738423,Consumer Goods,Asia-Pacific,928.73,5945,628,1475.63,794.94,-1341.84,Unchanged,1.0,1.25,21.98,Low
103332,Industrial,Africa,4208.93,8539,4083,1579.35,156.25,2473.33,Improved,6.91,2.43,1.07,Low
776219,Industrial,Europe,2418.22,6466,3484,2903.17,1754.52,-2239.47,Unchanged,8.86,4.76,27.46,Medium
216647,Consumer Goods,North America,4767.1,2511,938,974.33,1892.7,1900.07,Improved,6.39,0.87,16.49,Medium
886138,Energy and Building Technology,Europe,2938.0,1540,1733,167.87,1474.92,1295.21,Improved,7.03,0.89,21.24,Medium
587708,Automotive,Asia-Pacific,4271.55,7637,3484,1263.16,1312.67,1695.72,Improved,3.95,1.13,23.68,Medium
651590,Energy and Building Technology,North America,402.69,5494,258,2507.13,1231.99,-3336.43,Unchanged,2.91,4.51,24.29,High
359703,Consumer Goods,North America,195.04,4255,4397,2293.98,1355.3,-3454.24,Unchanged,7.97,2.55,8.07,High
956634,Energy and Building Technology,North America,4462.6,9526,2542,1546.2,749.37,2167.03,Improved,7.44,2.15,12.41,Low
230497,Energy and Building Technology,Europe,3439.45,1990,2214,1529.65,1007.01,902.79,Improved,8.46,3.07,13.35,Medium
213953,Energy and Building Technology,Africa,940.54,8270,4425,1801.29,822.93,-1683.68,Unchanged,3.22,0.57,10.23,Low
375395,Automotive,North America,2771.05,7329,4334,695.01,1484.53,591.51,Improved,3.62,1.08,28.18,Low
722118,Automotive,Asia-Pacific,2832.94,2065,4077,2115.3,1398.11,-680.47,Unchanged,8.76,1.87,22.07,High
253688,Consumer Goods,Africa,1239.26,8079,2523,660.21,1624.86,-1045.81,Unchanged,5.9,1.42,5.3,Low
656033,Industrial,Africa,4379.44,4624,4133,1798.36,1613.23,967.85,Improved,4.25,1.98,13.38,High
791845,Consumer Goods,Africa,4534.39,5473,502,1033.26,1316.82,2184.31,Improved,2.41,1.9,20.53,Low
715836,Industrial,Asia-Pacific,3181.25,9385,3974,1203.46,1513.02,464.77,Improved,3.42,3.49,4.47,High
561557,Industrial,Asia-Pacific,4257.78,3141,1130,1149.04,664.69,2444.05,Improved,6.85,3.1,12.32,Low
539933,Automotive,South America,203.86,4014,4895,1986.57,1992.13,-3774.84,Unchanged,8.63,1.4,23.17,High
934482,Automotive,Europe,2228.02,2873,1128,488.76,1192.8,546.46,Improved,8.88,4.76,24.69,High
623894,Industrial,North America,4381.13,6919,796,2629.72,275.57,1475.84,Improved,2.85,4.71,29.13,High
355472,Automotive,North America,1261.47,6207,2487,2745.51,207.79,-1691.83,Unchanged,8.94,1.42,9.96,Medium
211368,Automotive,South America,2055.58,3238,4594,592.11,1679.9,-216.43,Unchanged,8.45,4.38,16.46,Low
793593,Industrial,Africa,4639.12,7457,167,1346.32,1352.29,1940.51,Improved,7.89,4.28,14.29,High
158518,Automotive,Europe,1752.29,3063,4253,2054.66,1096.36,-1398.73,Unchanged,2.99,1.34,3.75,Medium
946538,Energy and Building Technology,Europe,2160.79,8331,2918,352.36,1232.86,575.57,Improved,1.36,4.97,8.35,High
915092,Automotive,Africa,1102.3,6266,3318,1993.61,1086.43,-1977.74,Unchanged,9.96,3.5,27.08,Medium
253666,Energy and Building Technology,South America,4924.11,6056,4555,1302.2,506.56,3115.35,Improved,9.35,2.38,2.67,High
506711,Industrial,South America,3131.31,8513,3503,2013.81,1186.14,-68.64,Unchanged,6.17,3.02,13.82,Medium
718533,Automotive,North America,452.19,7315,225,2099.97,1299.51,-2947.29,Unchanged,2.95,3.49,3.6,Low
430721,Industrial,North America,3709.04,3671,924,818.41,518.04,2372.59,Improved,7.56,4.47,11.35,Low
241569,Automotive,South America,3218.3,3972,3791,459.72,1114.93,1643.65,Improved,2.25,1.59,14.81,High
479232,Consumer Goods,South America,735.0,5937,341,1503.4,1501.83,-2270.23,Unchanged,7.1,1.44,26.19,Medium
626542,Industrial,South America,2703.67,7578,978,1792.67,945.83,-34.83,Unchanged,4.99,0.7,22.71,Medium
159320,Industrial,South America,778.79,1253,4960,1493.9,1561.04,-2276.15,Unchanged,8.73,3.68,18.01,Low
543438,Energy and Building Technology,Africa,4511.63,9836,3640,894.95,475.87,3140.81,Improved,2.37,2.68,19.03,High
126889,Energy and Building Technology,South America,2724.24,5986,1536,962.12,1252.91,509.21,Improved,7.11,4.05,24.04,Medium
382246,Energy and Building Technology,Africa,614.09,4977,2753,2180.75,248.25,-1814.91,Unchanged,2.87,1.38,11.57,Low
936141,Automotive,Africa,1447.38,8386,1745,1038.91,352.33,56.14,Improved,4.12,1.74,17.88,High
703915,Consumer Goods,South America,4920.77,9484,868,1319.97,1566.91,2033.89,Improved,5.07,2.04,2.19,Low
469398,Consumer Goods,Asia-Pacific,3427.78,6804,1963,2785.28,1250.25,-607.75,Unchanged,4.12,0.9,26.97,Low
721502,Industrial,North America,2074.63,1727,916,2439.59,1294.73,-1659.69,Unchanged,5.72,3.85,8.63,Medium
779215,Automotive,Asia-Pacific,1183.67,6961,4777,2257.33,1026.57,-2100.23,Unchanged,5.95,1.95,21.68,Medium
185086,Energy and Building Technology,Africa,4793.99,7550,4250,1309.1,50.23,3434.66,Improved,6.41,1.07,28.12,Low
790847,Energy and Building Technology,Europe,1707.19,9419,4040,644.28,755.23,307.68,Improved,3.57,0.64,18.23,Medium
798524,Energy and Building Technology,Africa,2194.92,5096,2911,2870.61,968.47,-1644.16,Unchanged,1.53,4.2,4.73,High
114144,Industrial,South America,4611.67,1370,3343,1717.11,1361.1,1533.46,Improved,2.81,1.8,16.37,Low
754039,Consumer Goods,Europe,340.67,8632,1902,890.45,1124.89,-1674.67,Unchanged,9.0,4.1,13.25,Medium
517807,Automotive,South America,4646.31,3666,4815,2463.79,1694.7,487.82,Improved,9.76,1.18,17.72,Low
544985,Industrial,North America,3613.71,1875,3770,1696.25,652.13,1265.33,Improved,3.42,1.57,8.46,Low
962403,Consumer Goods,Africa,3663.59,2791,1187,2418.58,1247.74,-2.73,Unchanged,2.24,2.9,2.08,Medium
487564,Consumer Goods,North America,1496.87,3957,134,1898.07,26.34,-427.54,Unchanged,7.29,1.16,23.17,High
572269,Consumer Goods,Africa,1286.92,9557,2242,353.67,59.31,873.94,Improved,2.15,3.05,17.91,Medium
956763,Consumer Goods,South America,3996.54,3086,4852,2545.28,1857.13,-405.87,Unchanged,5.86,1.91,8.18,High
976522,Industrial,North America,4180.25,1549,4486,1782.63,588.93,1808.69,Improved,2.45,4.39,18.8,Low
442934,Energy and Building Technology,Europe,2365.77,9481,4994,356.4,1845.61,163.76,Improved,2.6,4.7,28.7,Low
966376,Energy and Building Technology,Asia-Pacific,4118.05,1853,3634,228.98,1350.54,2538.53,Improved,4.36,4.3,29.23,Low
232387,Energy and Building Technology,North America,995.28,2299,1084,2035.48,469.34,-1509.54,Unchanged,1.56,0.61,4.65,Medium
411804,Industrial,South America,3716.45,6712,1393,1826.26,820.96,1069.23,Improved,1.85,3.06,25.64,High
147641,Industrial,South America,4425.55,5460,3401,1258.88,357.54,2809.13,Improved,7.66,4.09,4.33,High
736550,Industrial,Africa,575.47,6668,3283,251.77,1566.67,-1242.97,Unchanged,8.99,3.29,4.63,Medium
376535,Automotive,North America,1378.38,2268,205,2591.94,447.69,-1661.25,Unchanged,9.96,4.55,1.86,Medium
274246,Automotive,Africa,4757.69,5097,4946,2029.59,133.26,2594.84,Improved,9.05,4.76,14.44,Low
